"Frage","Antwort"
"Was bedeutet IEEE?","Institute of Electrical and Electronics Engineers: Ein Berufsverband für Ingenieure, der Standards in der Elektrotechnik und Informationstechnik entwickelt."
"Was bedeutet IETF?","Internet Engineering Task Force: Eine Organisation, die Internetstandards wie TCP/IP entwickelt und fördert."
"Was bedeutet RFC?","Request for Comments: Dokumente, die neue Forschungsergebnisse oder Innovationen im Internet beschreiben und zur Diskussion stellen."
"Was bedeutet ISO?","International Organization for Standardization: Eine internationale Normungsorganisation, die weltweit gültige Standards entwickelt."
"Was bedeutet OSI?","Open Systems Interconnection: Ein Referenzmodell zur Beschreibung der Kommunikation in Netzwerken über sieben Schichten."
"Was bedeutet DIN?","Deutsches Institut für Normung: Nationale Normungsorganisation Deutschlands."
"Was bedeutet IANA?","Internet Assigned Numbers Authority: Verantwortlich für die Verwaltung globaler IP-Adressen und DNS-Root-Zonen."
"Was bedeutet RJ?","Registered Jack: Standardisierte physische Netzwerkschnittstellen, z.B. RJ45-Stecker für Ethernet-Kabel."
"Was bedeutet EIA?","Electronic Industries Alliance: Ein Verband der Elektronikindustrie, der Standards entwickelt hat (heute nicht mehr aktiv)."
"Was bedeutet TIA?","Telecommunications Industry Association: Entwickelt Standards für Telekommunikationstechnologien."
"Was bedeutet MAC?","Media Access Control: Unverwechselbare Hardware-Adresse eines Netzwerkgeräts auf der Sicherungsschicht."
"Was bedeutet DNS?","Domain Name System: Ein System zur Umwandlung von Domainnamen in IP-Adressen."
"Was bedeutet NAT?","Network Address Translation: Verfahren zur Übersetzung von privaten IP-Adressen in öffentliche IP-Adressen."
"Was bedeutet ARP?","Address Resolution Protocol: Protokoll zur Zuordnung von IP-Adressen zu MAC-Adressen im lokalen Netzwerk."
"Was bedeutet STP?","Spanning Tree Protocol: Protokoll zur Vermeidung von Schleifen in redundanten Netzwerkstrukturen."
"Was bedeutet RSTP?","Rapid Spanning Tree Protocol: Eine schnellere Version von STP, die schnellere Konvergenzzeiten bietet."
"Was bedeutet DDNS?","Dynamic Domain Name System: Ermöglicht die automatische Aktualisierung eines DNS-Namens bei wechselnder IP-Adresse."
"Was bedeutet WAN?","Wide Area Network: Ein Weitverkehrsnetzwerk, das große geografische Bereiche abdeckt."
"Was bedeutet ISP?","Internet Service Provider: Ein Anbieter, der Zugang zum Internet bereitstellt."
"Was bedeutet LAN?","Local Area Network: Ein lokales Netzwerk, das Geräte in einem begrenzten Bereich verbindet."
"Was bedeutet VLAN?","Virtual Local Area Network: Logische Gruppierung von Netzwerkgeräten unabhängig von ihrer physischen Position."
"Was ist ein Repeater?","Ein Gerät, das Signale verstärkt oder regeneriert, um größere Distanzen zu überbrücken."
"Was ist ein Hub?","Ein Netzwerkgerät, das Datenpakete an alle angeschlossenen Ports sendet."
"Was ist eine Bridge?","Verbindet zwei Netzwerksegmente auf der Sicherungsschicht und filtert Datenverkehr basierend auf MAC-Adressen."
"Was ist ein Switch?","Leitet Datenpakete gezielt an den richtigen Port basierend auf MAC-Adressen."
"Was ist ein Router?","Leitet Datenpakete zwischen verschiedenen Netzwerken basierend auf IP-Adressen weiter."
"Was ist ein Layer 3 Switch?","Kombiniert die Funktionen eines Switches und Routers, arbeitet auf Schicht 2 und 3 des OSI-Modells."
"Welche Funktion hat die Bitübertragungsschicht im OSI-Modell?","Überträgt Bits über physische Medien, z.B. elektrische Signale über ein Ethernet-Kabel."
"Welche Funktion hat die Sicherungsschicht im OSI-Modell?","Sichert die Datenübertragung und regelt den Zugriff auf das Übertragungsmedium, z.B. durch MAC-Adressen."
"Welche Funktion hat die Vermittlungsschicht im OSI-Modell?","Verantwortlich für die Wegfindung und Weiterleitung von Datenpaketen, z.B. mittels IP-Adressen."
"Welche Funktion hat die Transportschicht im OSI-Modell?","Gewährleistet den zuverlässigen Datentransfer zwischen Endgeräten, z.B. durch TCP und UDP."
"Was versteht man unter strukturierter Verkabelung?","Ein standardisiertes Konzept für die Verkabelung von Gebäuden, das Flexibilität und Skalierbarkeit ermöglicht."
"Was ist eine Stern-Topologie?","Eine Netzwerkanordnung, bei der alle Geräte an einen zentralen Knoten angeschlossen sind."
